mni108,mokr,return,ser1,serd,ss,y,tkk2,wacf2,mod7,mod2,mod1,conc,duemp,mni79,mni86
7.51,23.63762,-0.000887,17,8,281.41,-0.02197,32,0,-0.300232,-0.300232,0.022673179928057,17.6,0.1,80.2,310
6.46,25.47166,-0.001143,16.6,8,86.37,-0.0168,37,-0.638841584,-1.427799,-1.33773,-1.4186971178242,16.9,0.3,72.5,350
6.17,26.72195,0.004301,16.3,7.4,115.33,-0.024182,37,0.633201921,-0.529689,-0.233451,0.19973879337813,16.7,0.74,66.1,346
8.5,27.01864,0.00662,16.1,8,-8.7,-0.015247,37,0.131675233,0.786116,0.293373,1.82954918349777,16.8,0.53,52.2,352
9.95,26.68361,0.00358,17.1,8,114.26,0.03856,36,0.493834923,1.77103,1.093609,1.55683558247238,16.8,0.2,80.7,308
13,26.01966,-0.000861,16.9,8,276.22,0.031667,34,0.471498613,2.881809,2.157216,3.83830550926826,17.2,-0.23,84.9,362
11.7,24.82929,6.16E-05,16.8,8,187.18,0.034365,38,-1.468992711,-0.5457,-0.986618,-0.338689946779586,16.8,-0.57,87.7,300
9.1,24.11006,-0.001172,17.4,8.8,243.14,0.014947,37,1.058103547,-0.284876,1.078546,-2.39513340847975,17.6,-0.57,81.5,295
9,24.32316,0.000247,17.1,8.4,61.11,0.009577,39,-0.298971574,0.267083,0.620099,0.52838400689929,17.2,-0.1,89.9,312
9.78,25.82304,-0.001174,17,8.4,-60.93,0.010666,37.5,-0.304173065,-0.900994,-0.207699,-0.186901940776784,16.6,0.04,87.8,332
10.7,27.65869,-0.000743,16.7,8,218.03,0.008218,36,-0.101763628,-1.03031,-0.297675,-2.49812854157515,17.1,-0.04,77.8,338
12,29.69277,-0.001179,17.4,8.2,389.99,0.018533,36,-0.763805261,-2.439203,-1.895356,-2.53753827885162,16.9,0.24,74.6,304
12.48,30.73541,-0.001183,17.2,8.2,182.96,0.026054,35,-0.312411236,-3.092375,-2.434354,-4.84789426331902,16.6,-0.04,75.5,320
12.2,32.75631,-0.001999,17.4,8.2,-61.08,0.006687,37.5,-0.23888576,-2.805596,-2.79125,-2.46665827460819,18,-0.23,75.9,350
11.75,34.52084,-0.004152,17.4,8.4,1.88,0.016523,40,-0.195644919,-2.306939,-3.035805,-2.66851987509757,17.2,0.07,65.4,352
10,35.16564,0.001262,17,8.4,17.84,0.013743,37,-0.902449673,-3.214045,-4.678967,-2.6565412011016,17.3,-0.1,89.3,347
10.02,35.44181,0.003641,17.3,8.4,198.81,0.023079,35,0.437997303,-2.075216,-3.628782,-2.07793150576965,17,-0.27,84.2,345
11.24,35.65257,0.003238,17.2,8.6,108.77,0.016017,36,-0.552421626,-1.623077,-4.405081,-0.95544033286408,16.9,-0.2,84.7,316
10.48,33.98783,0.001548,17.4,8.8,-72.27,0.015084,35.5,0.509363828,-0.44892,-3.28631,-0.772064376105145,17.3,-0.03,87,347
10.5,34.25809,0.002527,16.8,8.6,259.69,0.037072,35,-0.590237538,-0.499525,-4.106312,-1.10177974363297,16.8,-0.07,78.2,333
12.02,34.00178,-0.000492,17.1,8.6,-95.34,0.022691,35,0.308694715,-0.341922,-3.44867,-0.350544752085358,17.3,-0.23,78.4,373
12,34.01143,0.00221,17.4,8.6,-249.38,0.020933,34,-0.432076029,-0.551322,-3.934393,-0.434991307042532,17.4,-0.3,83.4,363
10.05,33.73111,-0.001349,17.4,8.6,182.58,0.019889,34.5,1.0169816,1.098501,-1.858306,1.72180743943322,17.7,-0.27,82.6,341
12.57,33.42381,0.001471,17.5,8.6,-87.46,0.028214,35,-0.856227508,0.422086,-3.211021,1.03334561315645,16.8,-0.23,80.9,346
10.6,33.07105,-0.001287,17.4,8.8,97.51,0.020723,35,0.591903181,0.35485,-2.129176,-0.793912361018613,16.9,-0.04,67.3,356
12.01,32.36308,0.000552,17.6,8.9,151.47,0.01541,37,-0.730126243,-0.471065,-3.186757,-0.272125265399274,17,-0.06,81.1,355
12.25,31.9027,0.001591,17.4,9.1,11.43,0.009476,36,1.570206983,1.723232,-0.155563,0.655231774356812,16.9,-0.07,77.2,360
13,31.28414,-0.000978,17.3,9.5,91.39,-0.005445,36,-0.8233291,1.562106,-1.396169,4.15273383175015,17,0.13,60.7,348
11.62,29.74698,0.001833,17,8.5,-105.64,-0.004031,38,1.846490645,3.595567,1.987527,3.27392628802269,16.6,0,76.5,335
10.54,28.90734,0.000974,17.8,8.4,167.32,0.006614,37.5,-1.804645852,1.110652,-1.23472,1.2744492246986,16.7,-0.03,82,322
11.31,28.37629,-0.000487,17.5,8.3,29.28,0.026585,37,2.274444594,2.623474,2.805781,1.50956442410056,16.8,0.1,79.8,347
10.2,30.62101,0.00158,18.1,8.2,7.24,0.014134,37,-2.625754517,-0.797644,-1.915545,-1.3435370131411,16.7,-0.17,73.5,343
11.35,32.70287,0.001272,17.5,8.1,134.21,0.013394,37,2.370077798,0.442691,2.119886,0.334475613323752,16.4,-0.16,93.1,378
