cons,gdp,us,y,lexrate,cpi,lnhpr,lnrent,ibm,pwi,r10 ,r3,tbill,temp
6.664409,7.122463,3.5,7.159758,5.484797,1,9.578094,6.696479,460,1,4.48667,4.67,3.94333,460
6.680604,7.128656,3.1,7.18569,4.890349,1.0151,9.586475,6.704414,457,3.65,4.26,4.24667,3.09,457
6.680478,7.134891,3.2,7.207712,5.105945,1.024134,9.594861,6.712348,452,5.183,3.83333,3.49,2.39333,452
6.679222,7.146378,3.4,7.212294,5.153292,1.030689,9.603256,6.722846,459,6.42692,3.88667,3.51667,2.36,459
6.688728,7.157735,3.1,7.221982,5.484797,1.034605,9.61165,6.730756,462,7.455227,3.78667,3.4,2.37667,462
6.699008,7.166806,3,7.219569,5.521461,1.039778,9.620013,6.738662,459,9.020825,3.79,3.39667,2.32667,459
6.702574,7.173038,3.2,7.228534,5.164786,1.04061,9.628277,6.746565,463,11.72707,3.98,3.69333,2.32333,463
6.71247,7.182656,2.8,7.249073,4.736198,1.042379,9.636341,6.757002,479,13.48613,3.97333,3.65,2.47667,479
6.714049,7.174188,2.7,7.266408,5.147494,1.080635,9.64406,6.764877,493,15.10447,4.01667,3.63333,2.74,493
6.726593,7.171657,2.6,7.275795,5.003946,1.495923,9.65128,6.77276,490,17.21909,3.87333,3.39,2.71333,490
6.722991,7.179765,2.7,7.271148,5.056246,1.563837,9.657889,6.780626,492,21.35168,3.99,3.49667,2.85667,492
6.728868,7.17158,3.7,7.263049,5.765191,1.652507,9.663922,6.788487,498,27.11663,3.90333,3.36667,2.80333,498
6.743824,7.208526,5.3,7.249073,4.521789,1.844363,9.669739,6.796343,499,33.89579,3.89333,3.4,2.91,499
6.76273,7.239574,5.8,7.245084,4.804021,1.998921,9.676239,6.804193,497,44.74244,3.96333,3.55,2.94,497
6.801617,7.276003,6,7.257003,4.962845,2.081476,9.685115,6.812037,496,58.16517,4.03333,3.78333,3.28,496
6.784796,7.302833,5.3,7.271565,5.225747,2.139549,9.697097,6.819885,490,71.54316,4.12,3.94333,3.49667,490
6.802173,7.31595,4.7,7.292746,5.545177,2.204378,9.710509,6.827716,489,89.42895,4.18,4.05333,3.53667,489
6.785475,7.344913,4.4,7.303641,5.267858,2.253315,9.724439,6.835539,478,106.4205,4.2,4.06667,3.48,478
6.795929,7.368592,4.1,7.31688,5.036953,2.296353,9.738994,6.843355,487,124.5119,4.19333,3.95667,3.50667,487
6.802284,7.375256,4.2,7.32561,4.997212,2.36111,9.752845,6.851174,491,160.6204,4.17333,4.04667,3.68667,491
6.806165,7.38256,4,7.323633,5.043425,2.388499,9.762304,6.858985,487,203.9879,4.20333,4.08,3.9,487
