mag,milk,qp,yn4,yc,yv,ass,liquor,ox,ser_e,y4,xp,mod1,mod2
208,589,112,112,-0.300232159133884,-0.300232,5.484797,480,2.63,101,2.483524,2.266525,294.35,16.5854855663136
200,561,118,118,0.762154320451373,1.36227,4.890349,467,1.94,82,-0.108597,1.230088,279.86,14.6996153654511
231,640,132,132,3.76281176385601,6.066549,5.105945,514,3.38,66,0.471987,0.539581,320.12,15.431312085506
214,656,129,129,7.80801091081048,7.493373,5.153292,505,4.92,35,2.597638,2.393145,328.64,15.5671213414963
211,727,121,121,11.0863955038521,1.093609,5.484797,534,6.29,31,2.454293,2.266525,364.10,16.4506615032885
218,697,135,135,14.2320077742329,4.857216,5.521461,546,5.58,7,0.826133,1.230088,349.37,15.9524658697002
210,640,148,148,10.7365387016,5.313382,5.164786,539,5.5,20,0.991448,0.539581,318.91,15.6120386563308
214,599,148,148,7.80999429298743,8.278546,4.736198,541,4.71,92,2.454912,3.432591,299.38,14.2827047442082
217,568,136,136,7.11471079075878,0.620099,5.147494,551,6.04,154,2.711781,2.445303,284.55,15.8186939149542
211,577,119,119,3.9065980454673,2.492301,5.003946,537,7.13,125,2.481313,1.514218,287.96,14.6437495780352
213,553,104,104,1.07147231318365,6.002325,5.056246,584,7.79,85,-0.413643,-0.017809,276.15,15.4769504067078
274,582,118,118,-2.39672131731516,5.304644,5.765191,854,3.83,68,3.012757,2.947205,290.15,17.4051284580388
222,600,115,115,-3.28891027564763,-2.434354,4.521789,522,3.83,38,1.333985,1.849848,299.08,13.6225401106902
215,566,126,126,-0.550522426846554,-0.09125,4.804021,506,4.25,23,2.671618,2.050086,282.51,14.846125030763
245,653,141,141,2.4239093023731,3.264195,4.962845,558,5.29,10,-0.08962,-0.122437,326.11,15.7899533888212
220,673,135,135,3.73890977995888,2.521033,5.225747,538,3.75,24,3.563359,2.817727,335.44,15.0230460084882
221,742,125,125,6.73953011392151,-3.628782,5.545177,605,4.67,83,3.086373,1.334985,370.72,16.0184047387958
228,716,149,149,9.86584155501715,-1.705081,5.267858,583,5.42,132,3.957127,1.415793,357.80,16.0835903656502
211,660,170,170,10.8680361188963,3.01369,5.036953,607,6.04,131,0.272153,0.031361,330.07,15.7062085474387
228,617,170,170,8.6439640207644,3.093688,4.997212,624,5.71,118,3.539894,3.507721,308.32,14.5525342317208
216,583,158,158,6.25017696062739,-3.44867,5.043425,570,8.13,90,2.795343,1.705293,291.34,14.0575851164144
230,587,133,133,3.85109055448344,-1.234393,5.164786,609,4.88,67,3.120484,2.838166,293.31,15.0452688430269
233,565,114,114,3.23836954950521,4.441694,5.356586,675,5.42,60,1.410782,-0.078352,283.17,16.1707494285532
281,590,140,140,0.736356118703338,3.988979,5.916202,861,5.5,47,2.545809,3.841789,294.96,17.9631444314645
232,628,145,145,0.131617723895656,-2.129176,4.644391,605,3,41,3.364947,2.232042,313.91,13.4407054932259
233,618,150,150,1.68165378640662,-0.486757,5.327876,537,3.42,21,3.920358,2.627377,308.74,15.5540099877235
240,688,178,178,6.04804608165904,6.144437,5.420535,575,4.5,16,1.22856,0.752853,344.99,16.4924478292963
236,705,163,163,8.81297447318476,5.803831,5.693732,588,4.25,6,4.118195,2.703116,352.93,17.1419894680374
246,770,172,172,12.5101276456105,1.987527,5.703782,656,4,4,2.824548,2.549815,386.19,16.8412965594128
231,736,178,178,12.6395877861745,1.46528,5.594711,623,5.33,7,4.395579,2.998663,367.67,16.8353807527082
236,678,199,199,13.1821417474518,9.105781,5.267858,661,5.79,14,1.663673,0.341528,339.83,15.3328218160991
239,639,199,199,8.46218398394324,5.284455,5.273,668,6.58,34,3.204227,3.457553,318.69,15.3713410234455
225,604,184,184,6.5260488096465,2.119886,5.32301,603,7.29,45,2.887511,2.000648,302.27,16.4923157347437
251,611,162,162,5.3529888292816,2.685287,5.147494,639,5.04,43,4.336229,3.113236,305.95,16.2557771734296
235,594,146,146,4.81079800499746,9.699893,5.159055,669,5.04,48,2.82262,1.709004,297.96,15.1411317187992
299,634,166,166,1.5374437687429,7.785162,5.814131,915,4.48,42,2.713071,3.448083,316.96,17.3564269923542
